CTV3ID,readterm
XE0X2,(Cereb infarc)(cerebrovas acc)(undef stroke/CVA)(stroke NOS)
X001P,Acute haemorrhagic leucoencephalitis
XaAsJ,Admission to stroke unit
Xa0N7,Angiogram-negative subarachnoid haemorrhage
SP100,Anoxic brain damage complication
G661.,Anterior cerebral artery syndrome
X00DJ,Anterior cerebral circulation haemorrhagic infarction
X00D5,Anterior cerebral circulation infarction
X00DS,Anterior circulation stroke of uncertain pathology
G612.,Basal ganglia haemorrhage
G630.,Basilar artery occlusion
G650.,Basilar artery syndrome
G650.,Basilar artery syndrome
X00DQ,Brainstem haemorrhage
Xa00K,Brainstem infarction
X00D9,Brainstem infarction NOS
X00D9,Brainstem infarction NOS
G663.,Brainstem stroke syndrome
G615.,Bulbar haemorrhage
X00D3,CVA - cerebral artery occlusion
X00D3,CVA - cerebral artery occlusion
G66..,CVA - cerebrovascular accident (& unspecified [& stroke])
G653.,Carotid artery syndrome hemispheric
Xa0Ml,Central post-stroke pain
G64..,Cereb art occl (& [cerebvasc acc][stroke]) or (cereb infarc)
XaIRJ,Cereb autosom dominant arteriop subcort infarcts leukoenceph
G6760,"Cereb infarct due cerebral venous thrombosis, non-pyogenic"
G613.,Cerebellar haemorrhage
Xa00J,Cerebellar infarction
Xa00J,Cerebellar infarction
G664.,Cerebellar stroke syndrome
SP101,Cerebral anoxia complication
XE0VI,Cerebral arterial occlusion
XE0VI,Cerebral arterial occlusion
Xa3fV,Cerebral artery occlusion NOS
G641.,Cerebral embolus
G641.,Cerebral embolus
XM0rV,Cerebral haemorrhage
Xa41Z,Cerebral haemorrhage - birth
XE0Wy,Cerebral haemorrhage NOS
Q2007,Cerebral haemorrhage due to birth injury
S62z.,Cerebral haemorrhage following injury NOS
G63y0,Cerebral infarct due to thrombosis of precerebral arteries
Xa0kZ,Cerebral infarction
Xa0kZ,Cerebral infarction
XE0VJ,Cerebral infarction NOS
XE0VJ,Cerebral infarction NOS
G6410,Cerebral infarction due to embolism of cerebral arteries
G63y1,Cerebral infarction due to embolism of precerebral arteries
G6400,Cerebral infarction due to thrombosis of cerebral arteries
XE0VF,Cerebral parenchymal haemorrhage
XE0VF,Cerebral parenchymal haemorrhage
G640.,Cerebral thrombosis
X00D1,Cerebrovascular accident
X00D1,Cerebrovascular accident
G6...,Cerebrovascular disease
G610.,Cortical haemorrhage
XaLtA,Delivery of rehabilitation for stroke
Xa1hE,Extension of cerebrovascular accident
G616.,External capsule haemorrhage
Xa41d,Fetal cerebral haemorrhage
XM1R2,H/O: CVA
XM1R2,H/O: CVA
14A7.,H/O: CVA &/or stroke
XE2te,H/O: CVA/stroke
XE2te,H/O: CVA/stroke
XaBL3,H/O: Stroke in last year
XM1R3,H/O: stroke
XM1R3,H/O: stroke
Q2000,Haemorr: [cereb unsp birth traum][intra cereb/cran fet/newb]
S620.,Haemorrh: [closed traum subarach] or [mid mening follow inj]
X00DI,Haemorrhagic cerebral infarction
X00Ds,Heredit cerebral haemorrhage with amyloidosis - Dutch type
G64z.,Infarct (& [cerebell] or [cerebral NOS] or [brainstem NOS])
X00D4,Infarction - precerebral
X00D4,Infarction - precerebral
XaJgQ,Infarction of basal ganglia
G611.,Internal capsule haemorrhage
Xa0Bj,Intracerebellar and posterior fossa haemorrhage
G61..,Intracerebral haemorrhage (& [cerebrovasc accident due to])
G61z.,Intracerebral haemorrhage NOS
X70Ei,Intracerebral haemorrhage in fetus or newborn
G617.,"Intracerebral haemorrhage, intraventricular"
G618.,"Intracerebral haemorrhage, multiple localised"
G62z.,Intracranial haemorrhage NOS
XaeUS,Intraventric (nontraumatic) haemorrhage grade 4 fet newborn
Q4113,Intraventricular haemorrhage due to birth injury
Xa0AH,Intraventricular haemorrhage of prematurity
X00DP,Lacunar haemorrhage
X00DA,Lacunar infarction
G667.,Left sided cerebral hemisphere cerebrovascular accident
XaBEC,Left sided cerebral infarction
XaBM4,"Left sided intracerebral haemorrhage, unspecified"
X00DM,Lobar cerebral haemorrhage
XaeUO,Locked in syndrome
X00DL,Massive supratentorial cerebral haemorrhage
G660.,Middle cerebral artery syndrome
XA0B9,Middle meningeal haemorrhage following injury
X40U0,"Mitochond encephalopathy, lact acidosis & strokelike episode"
Xa0lH,Multi-infarct dementia
X00DG,Multi-infarct state
G633.,Multiple and bilateral precerebral arterial occlusion
G654.,Multiple and bilateral precerebral artery syndromes
XaB4Z,Multiple lacunar infarcts
Xa00I,Occipital cerebral infarction
G6771,Occlusion and stenosis of anterior cerebral artery
G6773,Occlusion and stenosis of cerebellar arteries
G6770,Occlusion and stenosis of middle cerebral artery
G6772,Occlusion and stenosis of posterior cerebral artery
G6774,Occlusion+stenosis of multiple and bilat cerebral arteries
G677.,Occlusion/stenosis cerebral arts not result cerebral infarct
S6314,Oth cereb h'ge inj + open intracran wnd+>24hr LOC + recovery
S6315,Oth cereb h'ge inj + open intracran wnd+>24hr LOC -restored
S6316,Oth cereb h'ge inj + open intracran wnd+LOC unspec duration
S631z,Oth cereb h'ge inj + open intracran wnd+concussion unspec
S6304,Oth cereb h'ge inj no open intracran wnd+>24hr LOC +recovery
S6305,Oth cereb h'ge inj no open intracran wnd+>24hr LOC -restored
S6306,Oth cereb h'ge inj no open intracran wnd+LOC unspec duration
S630z,Oth cereb h'ge inj no open intracran wnd+concussion unspec
S6310,Oth cerebral h'ge inj + open intracran wnd + unspec consc
S6313,Oth cerebral h'ge inj + open intracran wnd+1-24hr loss consc
S6312,Oth cerebral h'ge inj + open intracran wnd+<1hr loss consc
S6311,Oth cerebral h'ge inj + open intracranial wnd+no loss consc
S6303,Oth cerebral h'ge inj no open intracran wnd+1-24hr LOC
S6302,Oth cerebral h'ge inj no open intracran wnd+<1hr loss consc
S6300,Oth cerebral h'ge inj no open intracran wnd+unspec consc
S6301,Oth cerebral h'ge inj no open intracranial wnd+no loss consc
G62..,Other and unspecified intracranial haemorrhage
S631.,Other cerebral h'ge after injury + open intracranial wound
S63..,Other cerebral haemorrhage following injury
S63z.,Other cerebral haemorrhage following injury NOS
G63y.,Other precerebral artery occlusion
X00D7,Partial anterior cerebral circulation infarction
Q411.,Perinatal intraventricular haemorrhage
X40LM,Pituitary haemorrhage
G614.,Pontine haemorrhage
G662.,Posterior cerebral artery syndrome
X00DK,Posterior cerebral circulation haemorrhagic infarction
X00D8,Posterior cerebral circulation infarction
X00DT,Posterior circulation stroke of uncertain pathology
G63z.,Precerebral artery occlusion NOS
G63..,Precerebral: [arterial occlusion][arterial stenos][infarct]
X00DB,Pure motor lacunar infarction
XaQbK,Pure motor lacunar syndrome
X00DD,Pure sensorimotor lacunar infarction
X00DC,Pure sensory lacunar infarction
XaQbM,Pure sensory lacunar syndrome
Y1fa4,Quality and Outcomes Framework stroke and transient ischaemic attack quality indicator-related care invitation (procedure)
XaJi5,Ref to multidisciplinary stroke function improvement service
G668.,Right sided cerebral hemisphere cerebrovascular accident
XaBED,Right sided cerebral infarction
XaBM5,"Right sided intracerebral haemorrhage, unspecified"
Xa0NW,Rupt intern carotid-posterior communicat art zone aneurysm
Xa0NV,Rupturd intern carotid-anter communic art zone aneurysm
A94y6,Rupture of syphilitic cerebral aneurysm
Xa0NJ,Ruptured aneurysm of anterior cerebral artery
Xa0NO,Ruptured aneurysm of anterior communicating artery
Xa0NR,Ruptured aneurysm of basilar artery
Xa0NK,Ruptured aneurysm of middle cerebral artery
Xa0NN,Ruptured aneurysm of posterior cerebral artery
Xa0NQ,Ruptured aneurysm of posterior communicating artery
Xa0NS,Ruptured aneurysm of posterior inferior cerebellar artery
G600.,Ruptured berry aneurysm
X204F,Ruptured cerebral aneurysm
Xa0N3,Ruptured cerebral arteriovenous malformation
Xa0NX,Ruptured internal carotid bifurcation aneurysm
G683.,Sequelae of cerebral infarction
G681.,Sequelae of intracerebral haemorrhage
G682.,Sequelae of other non-traumatic intracranial haemorrhage
G680.,Sequelae of subarachnoid haemorrhage
XE2bF,Spontaneous subarachnoid haemorrhage
XaR68,Stroke 6 month review
XaEGq,Stroke NOS
XE2aB,Stroke and cerebrovascular accident unspecified
XE2aB,Stroke and cerebrovascular accident unspecified
XaIzF,Stroke annual review
XaIzF,Stroke annual review
XM1PL,Stroke in the puerperium
XM1PL,Stroke in the puerperium
X00DR,Stroke of uncertain pathology
XaYbE,Stroke self-management plan agreed
XaYZQ,Stroke self-management plan review
G60z.,Subarachnoid haemorrhage NOS
G601.,Subarachnoid haemorrhage from carotid siphon and bifurcation
X00Df,Subarachnoid haemorrhage from rupt arteriovenous malformat
G606.,Subarachnoid haemorrhage from vertebral artery
X00DN,Subcortical cerebral haemorrhage
Q200.,Subdural and cerebral haemorrhage due to birth trauma
X00DO,Thalamic haemorrhage
X00D6,Total anterior cerebral circulation infarction
XA0BG,Traumatic intracerebral haemorrhage
XE1m2,Traumatic intracranial haemorrhage
G632.,Vertebral artery occlusion
G651.,Vertebral artery syndrome
G6510,Vertebrobasilar artery syndrome
Gyu6G,[X]Cereb infarct due unsp occlus/stenos precerebr arteries
Gyu63,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
G6X..,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
Gyu6F,"[X]Intracerebral haemorrhage in hemisphere, unspecified"
Gyu66,[X]Occlusion and stenosis of other cerebral arteries
Gyu65,[X]Occlusion and stenosis of other precerebral arteries
Qyu20,[X]Oth intracranial laceratns+haemorrhages due/birth injury
Gyu64,[X]Other cerebral infarction
Gyu62,[X]Other intracerebral haemorrhage
Fyu56,[X]Other lacunar syndromes
Fyu57,[X]Other vascular syndroms/brain in cerebrovasculr diseases
Gyu6C,"[X]Sequelae of stroke,not specfd as h'morrhage or infarction"
G612.00,Basal nucleus haemorrhage
G663.00,Brain stem stroke syndrome
G66..13,CVA - Cerebrovascular accident unspecified
G61..11,CVA - cerebrovascular accid due to intracerebral haemorrhage
L440.11,CVA - cerebrovascular accident in the puerperium
G66..11,CVA unspecified
G676000,"Cereb infarct due cerebral venous thrombosis, nonpyogenic"
G6W..00,Cereb infarct due unsp occlus/stenos precerebr arteries
S62..00,Cerebral haemorrhage following injury
G6X..00,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
S620.00,Closed traumatic subarachnoid haemorrhage
ZLEP.00,Discharge from stroke serv
662o.00,Haemorrhagic stroke monitoring
G64..12,Infarction - cerebral
G61..00,Intracerebral haemorrhage
G61X.00,"Intracerebral haemorrhage in hemisphere, unspecified"
G618.00,"Intracerebral haemorrhage, multiple localized"
G64z111,Lateral medullary syndrome
G667.00,Left sided CVA
5C13.00,Old cerebral infarction on imaging
S621.00,Open traumatic subarachnoid haemorrhage
Q412.00,Perinatal subarachnoid haemorrhage
F4K7.00,Retrobulbar haemorrhage
G668.00,Right sided CVA
2Ba2200,SCPE class predom patt C.3 infarct of middle cerebral artery
G682.00,Sequelae of other nontraumatic intracranial haemorrhage
G68X.00,"Sequelae of stroke,not specfd as h'morrhage or infarction"
G64..13,Stroke due to cerebral arterial occlusion
G61..12,Stroke due to intracerebral haemorrhage
662M200,Stroke initial post discharge review
662M.00,Stroke monitoring
G66..12,Stroke unspecified
662e.00,Stroke/CVA annual review
G60X.00,"Subarachnoid haemorrh from intracranial artery, unspecif"
G60..00,Subarachnoid haemorrhage
S62..12,Subarachnoid haemorrhage following injury
G603.00,Subarachnoid haemorrhage from anterior communicating artery
G605.00,Subarachnoid haemorrhage from basilar artery
G602.00,Subarachnoid haemorrhage from middle cerebral artery
G604.00,Subarachnoid haemorrhage from posterior communicating artery
S62..14,Traumatic cerebral haemorrhage
S627.00,Traumatic subarachnoid haemorrhage
G651000,Vertebro-basilar artery syndrome
G64z100,Wallenberg syndrome
ZV12512,[V]Personal history of cerebrovascular accident (CVA)
ZV12511,[V]Personal history of stroke
Gyu6100,[X]Other subarachnoid haemorrhage
Gyu6E00,"[X]Subarachnoid haemorrh from intracranial artery, unspecif"
Gyu6000,[X]Subarachnoid haemorrhage from other intracranial arteries