varname,ALLage70plus,ALLnonwhite,ALLmale,ALLobese,ALLcurrsmok,ALLdeprived,ALLhtdiag_or_highbp,ALLchronic_respiratory_disease,ALLasthma,ALLchronic_cardiac_disease,ALLdiabetes,ALLevercancer_exhaem,ALLevercancer_haem,ALLchronic_liver_disease,ALLstroke_dementia,ALLother_neuro,ALLanyckd,ALLorgan_transplant,ALLspleen,ALLra_sle_psoriasis,ALLother_immunosuppression,U70nonwhite,U70male,U70obese,U70currsmok,U70deprived,U70htdiag_or_highbp,U70chronic_respiratory_disease,U70asthma,U70chronic_cardiac_disease,U70diabetes,U70evercancer_exhaem,U70evercancer_haem,U70chronic_liver_disease,U70stroke_dementia,U70other_neuro,U70anyckd,U70organ_transplant,U70spleen,U70ra_sle_psoriasis,U70other_immunosuppression,O70nonwhite,O70male,O70obese,O70currsmok,O70deprived,O70htdiag_or_highbp,O70chronic_respiratory_disease,O70asthma,O70chronic_cardiac_disease,O70diabetes,O70evercancer_exhaem,O70evercancer_haem,O70chronic_liver_disease,O70stroke_dementia,O70other_neuro,O70anyckd,O70organ_transplant,O70spleen,O70ra_sle_psoriasis,O70other_immunosuppression
"age70plus",1,-.1225937,-.0432749,.0055286,-.1237625,-.0792305,.3745539,.1953474,-.0405769,.2967766,.2088897,.2269073,.0615983,.0143855,.197385,.0545793,.4154223,-.0000773,.0097102,.0532494,-.0503221,1,.0223734,-.0516472,-.0622679,.1598092,-.0546169,-.0415445,-.0652606,-.0187775,.085573,-.0419289,-.0094659,.0019834,-.0139674,-.0170521,-.0091184,.0031602,.0036029,-.0396038,.0103166,1,-.0019119,-.0103329,-.0205658,.1159489,.0270754,-.0292213,.0255502,.0184295,.1643694,-.03515,-.006591,.0048416,.0029136,-.0015865,.0076856,.0129671,.0006717,-.0150651,.0099074
"nonwhite",-.1225937,1,.0229817,-.0466157,-.0430494,.1611315,-.0860851,-.057129,-.050589,-.0446637,.0641006,-.061183,-.015177,.000612,-.0311615,-.0197445,-.0524699,.0041466,.0018979,-.0411468,.0165722,.0223734,1,-.0945062,.06851,.0130065,.0615771,-.0023006,-.0227545,.0561234,.0239443,-.0498069,.0074197,.0123037,.0137222,-.0098954,-.0125944,.0062687,.0035169,-.0264765,-.085735,-.0019119,1,-.0358977,.0257554,-.0084621,-.0183851,.0416547,-.0490422,.1238817,.0661441,.0295919,.0210038,.0067549,.0261681,.0188625,-.0283746,.0077524,.0052244,-.01734,.0083617
"male",-.0432749,.0229817,1,-.0847329,.0674637,.0127808,.0275293,.002397,-.0251771,.0565885,.02434,-.0314758,.0082773,.010457,.0073304,-.0045024,-.0326114,.006528,.0034432,-.0266345,-.0737738,-.0516472,-.0945062,1,-.0262198,.0558494,.2265916,.0430907,.0721598,.0784249,.2027831,.023958,.0062331,.0161761,.0313115,.0089165,.0570465,.0026051,.001842,.0431382,.0081041,-.0103329,-.0358977,1,-.0372648,.0721906,.1213953,.0328528,.0607697,.0573784,.1782994,-.00356,-.0079301,.0152183,-.0053167,-.0105037,.0560302,-.001951,-.001178,.0201247,-.000828
"obese",.0055286,-.0466157,-.0847329,1,-.0277846,.0578631,.1952958,.0373699,.0700993,.0642014,.1878389,.0150071,.0022173,.0159665,.0158623,.0040861,.0443483,.0018326,.001248,.0383487,.00697,-.0622679,.06851,-.0262198,1,.139888,-.0137697,.0749474,.0086384,.0057168,-.0098322,-.021505,-.0067293,.027435,.0112241,-.006288,-.0194887,-.0066519,.0020801,.0183676,.0004049,-.0205658,.0257554,-.0372648,1,.0940871,-.026352,.1325946,-.0273559,-.0062325,.002275,-.0161988,-.0092698,.016907,.0057957,-.0102473,-.0391737,-.0039189,-.0002848,.0198499,-.0000314
"currsmok",-.1237625,-.0430494,.0674637,-.0277846,1,.1419572,-.0603139,.0512465,.0095829,-.0344859,-.0327044,-.0451024,-.0140531,.0232195,-.0169815,-.0132542,-.0688385,-.0061963,.0004445,.0112984,.0066052,.1598092,.0130065,.0558494,.139888,1,-.0057073,.0396507,-.000431,.0175878,.0451371,-.0240677,-.0061316,.0167889,.012029,.0012434,.0008115,.0014378,.0013892,-.0029068,.0023378,.1159489,-.0084621,.0721906,.0940871,1,.0294869,.0815644,.0177175,.0452786,.0761324,-.0210651,-.0074629,.012261,.0269926,.0013893,.0323102,.0017701,.0007752,.0060282,.0019763
"deprived",-.0792305,.1611315,.0127808,.0578631,.1419572,1,-.0293779,.0321912,.0055686,-.000418,.0335353,-.0386968,-.0109664,.0145898,-.0007629,-.0030908,-.0225047,.0014949,.0004757,-.0052762,.0062214,-.0546169,.0615771,.2265916,-.0137697,-.0057073,1,.0779667,.0025248,.1306318,.2054323,.0696414,.0178024,.0363416,.0771058,.0185017,.1096326,.0385981,.008923,.0480467,-.03066,.0270754,-.0183851,.1213953,-.026352,.0294869,1,.0042347,.0180136,.0767826,.1224261,.0142691,-.0047588,.0080257,.0587085,-.0092939,.1189076,.0102669,.0003635,.0126483,-.0030461
"htdiag_or_highbp",.3745539,-.0860851,.0275293,.1952958,-.0603139,-.0293779,1,.1190816,-.0105047,.2031979,.2406477,.1282649,.0324681,.0333678,.1295568,.0303259,.2353909,.0310363,.0101029,.057105,-.0443556,-.0415445,-.0023006,.0430907,.0749474,.0396507,.0779667,1,.0690592,.101871,.0738106,.0416155,.0179278,.0384929,.0537046,.0191355,.0471049,.0123503,.0082078,.0355849,-.0057364,-.0292213,.0416547,.0328528,.1325946,.0815644,.0042347,1,.1399396,.0998731,.042317,.0214511,.0068894,.0210567,.0386221,.0018469,.0299302,.0013726,.0054322,.0464764,.00843
"chronic_respiratory_disease",.1953474,-.057129,.002397,.0373699,.0512465,.0321912,.1190816,1,.0734161,.1523466,.0976902,.0741052,.0241944,.0330204,.0812293,.0217343,.1126459,.0080603,.0086792,.0479353,-.0127073,-.0652606,-.0227545,.0721598,.0086384,-.000431,.0025248,.0690592,1,.0075686,.0155063,-.0050026,.0004366,.0019167,.002659,.0047013,-.0011408,-.0001234,.0003972,.015575,.0111367,.0255502,-.0490422,.0607697,-.0273559,.0177175,.0180136,.1399396,1,.0292226,.0334272,.0007186,-.0005436,.0051368,.0049946,.0010134,.002096,-.0005843,.0022069,.016567,.0053103
"asthma",-.0405769,-.050589,-.0251771,.0700993,.0095829,.0055686,-.0105047,.0734161,1,.0003627,.0102641,-.0121194,-.0023554,.0019327,-.0050766,.0014264,-.016722,-.0001945,.0003591,.0134212,.0124982,-.0187775,.0561234,.0784249,.0057168,.0175878,.1306318,.101871,.0075686,1,.1548372,.0362866,.0206915,.0267563,.1096651,.0216339,.0980303,.0291034,.0104694,.0279117,-.0115985,.0184295,.1238817,.0573784,-.0062325,.0452786,.0767826,.0998731,.0292226,1,.1430179,.0197184,.0138998,.0136052,.1266555,.0201898,.1629875,.0092541,.005226,.0227464,.0054403
"chronic_cardiac_disease",.2967766,-.0446637,.0565885,.0642014,-.0344859,-.000418,.2031979,.1523466,.0003627,1,.1994493,.0928664,.0346464,.0239998,.1700724,.0359276,.2424178,.0197436,.0105619,.0394177,-.0216578,.085573,.0239443,.2027831,-.0098322,.0451371,.2054323,.0738106,.0155063,.1548372,1,.0404815,.0153942,.0442815,.0710644,.0157691,.0962601,.0321693,.0112115,.0321988,-.012638,.1643694,.0661441,.1782994,.002275,.0761324,.1224261,.042317,.0334272,.1430179,1,.0128871,.0020765,.0332673,.0582888,.0053818,.1108254,.011443,.0090758,.014708,.004402
"diabetes",.2088897,.0641006,.02434,.1878389,-.0327044,.0335353,.2406477,.0976902,.0102641,.1994493,1,.0739292,.0222865,.0426441,.1004928,.022969,.1732554,.0254762,.0122648,.0370317,-.0197187,-.0419289,-.0498069,.023958,-.021505,-.0240677,.0696414,.0416155,-.0050026,.0362866,.0404815,1,.0290976,.0159685,.0223944,.008556,.0543382,.0107449,.0150553,.0153697,-.005961,-.03515,.0295919,-.00356,-.0161988,-.0210651,.0142691,.0214511,.0007186,.0197184,.0128871,1,.0240191,.0075131,.0087154,.0005021,.0360809,.0032311,.0217557,.0012868,.0050436
"evercancer_exhaem",.2269073,-.061183,-.0314758,.0150071,-.0451024,-.0386968,.1282649,.0741052,-.0121194,.0928664,.0739292,1,.0397601,.0152168,.0583237,.017119,.131197,.0075011,.0188161,.0214346,-.0147764,-.0094659,.0074197,.0062331,-.0067293,-.0061316,.0178024,.0179278,.0004366,.0206915,.0153942,.0290976,1,.0069299,.0085411,.0030695,.0262898,.0110213,.0329081,.005848,.0050714,-.006591,.0210038,-.0079301,-.0092698,-.0074629,-.0047588,.0068894,-.0005436,.0138998,.0020765,.0240191,1,.0036765,.001136,-.0006011,.0227162,.0040012,.0413786,.0046771,.0216456
"evercancer_haem",.0615983,-.015177,.0082773,.0022173,-.0140531,-.0109664,.0324681,.0241944,-.0023554,.0346464,.0222865,.0397601,1,.0064668,.0163062,.0048307,.0467152,.0083363,.0356844,.008536,.0029925,.0019834,.0123037,.0161761,.027435,.0167889,.0363416,.0384929,.0019167,.0267563,.0442815,.0159685,.0069299,1,.0197954,.0046129,.022533,.0822343,.0136597,.017072,.0105827,.0048416,.0067549,.0152183,.016907,.012261,.0080257,.0210567,.0051368,.0136052,.0332673,.0075131,.0036765,1,.0076775,.0005925,.0033258,.066182,.0084019,.0159683,.0154214
"chronic_liver_disease",.0143855,.000612,.010457,.0159665,.0232195,.0145898,.0333678,.0330204,.0019327,.0239998,.0426441,.0152168,.0064668,1,.0157398,.0041017,.0164145,.0785317,.0124304,.0175307,.0095903,-.0139674,.0137222,.0313115,.0112241,.012029,.0771058,.0537046,.002659,.1096651,.0710644,.0223944,.0085411,.0197954,1,.0785665,.0525904,.012873,.0098727,.0149194,-.0049153,.0029136,.0261681,-.0053167,.0057957,.0269926,.0587085,.0386221,.0049946,.1266555,.0582888,.0087154,.001136,.0076775,1,.0827238,.0806985,.0024395,.0055165,.0079239,.0018668
"stroke_dementia",.197385,-.0311615,.0073304,.0158623,-.0169815,-.0007629,.1295568,.0812293,-.0050766,.1700724,.1004928,.0583237,.0163062,.0157398,1,.0867948,.1461301,.0075119,.0090405,.0210798,-.0124667,-.0170521,-.0098954,.0089165,-.006288,.0012434,.0185017,.0191355,.0047013,.0216339,.0157691,.008556,.0030695,.0046129,.0785665,1,.010116,.0018125,.0029174,.005898,-.0026706,-.0015865,.0188625,-.0105037,-.0102473,.0013893,-.0092939,.0018469,.0010134,.0201898,.0053818,.0005021,-.0006011,.0005925,.0827238,1,-.006729,-.0013204,.0009171,-.0008233,.0008134
"other_neuro",.0545793,-.0197445,-.0045024,.0040861,-.0132542,-.0030908,.0303259,.0217343,.0014264,.0359276,.022969,.017119,.0048307,.0041017,.0867948,1,.0231448,.0009419,.0027791,.0066218,-.0047245,-.0091184,-.0125944,.0570465,-.0194887,.0008115,.1096326,.0471049,-.0011408,.0980303,.0962601,.0543382,.0262898,.022533,.0525904,.010116,1,.1454758,.0079782,.0188883,-.0053929,.0076856,-.0283746,.0560302,-.0391737,.0323102,.1189076,.0299302,.002096,.1629875,.1108254,.0360809,.0227162,.0033258,.0806985,-.006729,1,.0310153,-.0000988,.0054824,.0014048
"anyckd",.4154223,-.0524699,-.0326114,.0443483,-.0688385,-.0225047,.2353909,.1126459,-.016722,.2424178,.1732554,.131197,.0467152,.0164145,.1461301,.0231448,1,.0719594,.007187,.0318981,-.0232091,.0031602,.0062687,.0026051,-.0066519,.0014378,.0385981,.0123503,-.0001234,.0291034,.0321693,.0107449,.0110213,.0822343,.012873,.0018125,.1454758,1,.0088764,.0037708,.0040614,.0129671,.0077524,-.001951,-.0039189,.0017701,.0102669,.0013726,-.0005843,.0092541,.011443,.0032311,.0040012,.066182,.0024395,-.0013204,.0310153,1,.0049124,-.0002837,.0144436
"organ_transplant",-.0000773,.0041466,.006528,.0018326,-.0061963,.0014949,.0310363,.0080603,-.0001945,.0197436,.0254762,.0075011,.0083363,.0785317,.0075119,.0009419,.0719594,1,.0079537,.0028753,.0046471,.0036029,.0035169,.001842,.0020801,.0013892,.008923,.0082078,.0003972,.0104694,.0112115,.0150553,.0329081,.0136597,.0098727,.0029174,.0079782,.0088764,1,.0030252,.0009905,.0006717,.0052244,-.001178,-.0002848,.0007752,.0003635,.0054322,.0022069,.005226,.0090758,.0217557,.0413786,.0084019,.0055165,.0009171,-.0000988,.0049124,1,.0024624,.0044983
"spleen",.0097102,.0018979,.0034432,.001248,.0004445,.0004757,.0101029,.0086792,.0003591,.0105619,.0122648,.0188161,.0356844,.0124304,.0090405,.0027791,.007187,.0079537,1,.0033889,.0007352,-.0396038,-.0264765,.0431382,.0183676,-.0029068,.0480467,.0355849,.015575,.0279117,.0321988,.0153697,.005848,.017072,.0149194,.005898,.0188883,.0037708,.0030252,1,.0044796,-.0150651,-.01734,.0201247,.0198499,.0060282,.0126483,.0464764,.016567,.0227464,.014708,.0012868,.0046771,.0159683,.0079239,-.0008233,.0054824,-.0002837,.0024624,1,.0104338
"ra_sle_psoriasis",.0532494,-.0411468,-.0266345,.0383487,.0112984,-.0052762,.057105,.0479353,.0134212,.0394177,.0370317,.0214346,.008536,.0175307,.0210798,.0066218,.0318981,.0028753,.0033889,1,.0019977,.0103166,-.085735,.0081041,.0004049,.0023378,-.03066,-.0057364,.0111367,-.0115985,-.012638,-.005961,.0050714,.0105827,-.0049153,-.0026706,-.0053929,.0040614,.0009905,.0044796,1,.0099074,.0083617,-.000828,-.0000314,.0019763,-.0030461,.00843,.0053103,.0054403,.004402,.0050436,.0216456,.0154214,.0018668,.0008134,.0014048,.0144436,.0044983,.0104338,1
"other_immunosuppression",-.0503221,.0165722,-.0737738,.00697,.0066052,.0062214,-.0443556,-.0127073,.0124982,-.0216578,-.0197187,-.0147764,.0029925,.0095903,-.0124667,-.0047245,-.0232091,.0046471,.0007352,.0019977,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
